,0,1,2,3,4,5
0,S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Organisation Chain
1,1.,19-Nov-2018 03:45 PM,27-Nov-2018 09:30 AM,27-Nov-2018 09:30 AM,"[SUPPLY OF MISC ITEM FOR MTA-3]
             																								 [1247/E-QTN/2018-19/70/OPW][2018_IHQ_399849_2]
             																								","
             																									IHQ of MoD (Army)-(OSCC)||Northern Comd-IHQ of MoD (Army)-(OSCC)||CORPS 1-Northern Comd-IHQ of MoD (Army)-(OSCC)||ENGR UNIT 5-IHQ of MoD (Army)
             																								"
2,2.,19-Nov-2018 03:45 PM,10-Dec-2018 03:45 PM,10-Dec-2018 03:45 PM,"[Army Hygiene Chemical]
             																								 [P/71784/2019-20/Q/ST9(03)/ Deltamethrin SC (F][2018_IHQ_408939_1]
             																								","
             																									IHQ of MoD (Army)-(OSCC)||QMG BR-IHQ of MoD (Army)-(OSCC)||DG ST-QMG BR-IHQ of MoD (Army)-(OSCC)||ST 9-DG ST-QMG BR-IHQ of MoD (Army)
             																								"
3,3.,19-Nov-2018 03:40 PM,22-Nov-2018 12:30 PM,22-Nov-2018 01:00 PM,"[984/Chicken/LP/ST-5]
             																								 [984/Chicken/LP/ST-5][2018_IHQ_408909_1]
             																								","
             																									IHQ of MoD (Army)-(OSCC)||Western Comd-IHQ of MoD (Army)-(OSCC)||CORPS 1-Western Comd-IHQ of MoD (Army)-(OSCC)||SUP COY 1-IHQ of MoD (Army)
             																								"
4,4.,19-Nov-2018 03:40 PM,24-Nov-2018 04:00 PM,26-Nov-2018 12:00 PM,"[C/o Bio Toilet block with base and water supply line at BSF Campus Saltlake under FTR HQ BSF SB (SH-2  Supply and installation of Eco clean 4 seater PUF made biological toilet).]
             																								 [37/HQ SB FTR/SAP/2018-19][2018_BSF_408931_1]
             																								","
             																									DG,BSF,MHA||South Bengal(Kolkata),BSF,MHA
             																								"
5,5.,19-Nov-2018 03:30 PM,27-Nov-2018 09:00 AM,27-Nov-2018 09:30 AM,"[SUPPLY OF PORTABLE WELDING MACHINE]
             																								 [1247/E-QTN/2018-19/77/OPW][2018_IHQ_408861_1]
             																								","
             																									IHQ of MoD (Army)-(OSCC)||Northern Comd-IHQ of MoD (Army)-(OSCC)||CORPS 1-Northern Comd-IHQ of MoD (Army)-(OSCC)||ENGR UNIT 5-IHQ of MoD (Army)
             																								"
6,6.,19-Nov-2018 03:30 PM,29-Nov-2018 11:00 AM,30-Nov-2018 12:00 PM,"[Procurement of Gemini Craft 8 to 10 Men for ICGS Samrat]
             																								 [SMT/RFP/17/18-19][2018_ICG_408817_1]
             																								","
             																									Indian Coast Guard||RHQ (W) - ICG
             																								"
7,7.,19-Nov-2018 03:30 PM,19-Dec-2018 11:00 AM,20-Dec-2018 12:00 PM,"[Tender document]
             																								 [AYJ_Tech_CoralDraw][2018_AYJNI_408925_1]
             																								","
             																									Ali Yavar Jung National Institute For Hearing Handicapped - Mumbai
             																								"
8,8.,19-Nov-2018 03:30 PM,10-Dec-2018 03:30 PM,10-Dec-2018 03:30 PM,"[Army Hygiene Chemical]
             																								 [P/71758/2019-20/Q/ST9(013)/ Cyphenothrin 5 EC][2018_IHQ_408928_1]
             																								","
             																									IHQ of MoD (Army)-(OSCC)||QMG BR-IHQ of MoD (Army)-(OSCC)||DG ST-QMG BR-IHQ of MoD (Army)-(OSCC)||ST 9-DG ST-QMG BR-IHQ of MoD (Army)
             																								"
9,9.,19-Nov-2018 03:30 PM,10-Dec-2018 02:00 PM,11-Dec-2018 02:30 PM,"[Micro Volume UV - Visible spectrometer]
             																								 [NIAB/SP/2018-19/31][2018_DBTEC_408913_1]
             																								","
             																									Department of Biotechnology||National Institute of Animal Biotechnology - DBT||Stores and Purchase Section-NIAB - DBT
             																								"
10,10.,19-Nov-2018 03:20 PM,10-Dec-2018 03:20 PM,10-Dec-2018 03:20 PM,"[Army Hygiene Chemical]
             																								 [P/71753/2019-20/Q/ST9(02)/ Cyfluthrin 10 WP][2018_IHQ_408912_1]
             																								","
             																									IHQ of MoD (Army)-(OSCC)||QMG BR-IHQ of MoD (Army)-(OSCC)||DG ST-QMG BR-IHQ of MoD (Army)-(OSCC)||ST 9-DG ST-QMG BR-IHQ of MoD (Army)
             																								"
11,11.,19-Nov-2018 03:10 PM,10-Dec-2018 03:10 PM,10-Dec-2018 03:15 PM,"[Army Hygiene Chemical]
             																								 [P/71756/2019-20/Q/ST9(04)/ Cyfluthrin 5 EW][2018_IHQ_408901_1]
             																								","
             																									IHQ of MoD (Army)-(OSCC)||QMG BR-IHQ of MoD (Army)-(OSCC)||DG ST-QMG BR-IHQ of MoD (Army)-(OSCC)||ST 9-DG ST-QMG BR-IHQ of MoD (Army)
             																								"
12,12.,19-Nov-2018 03:00 PM,03-Dec-2018 10:00 AM,03-Dec-2018 11:00 AM,"[Collapsible Tank (5000 ltrs)]
             																								 [317/RFP/ 29 /Op Wks18][2018_IHQ_408771_1]
             																								","
             																									IHQ of MoD (Army)-(OSCC)||Central Comd-IHQ of MoD (Army)-(OSCC)||CORPS 2-Central Comd-IHQ of MoD (Army)-(OSCC)||UNIT 4-CORPS2-Central Comd-IHQ of MoD
             																								"
13,13.,19-Nov-2018 03:00 PM,03-Dec-2018 10:00 AM,03-Dec-2018 11:00 AM,"[Collapsible Tank (10000 ltrs)]
             																								 [317/RFP/ 28 /Op Wks18][2018_IHQ_408746_1]
             																								","
             																									IHQ of MoD (Army)-(OSCC)||Central Comd-IHQ of MoD (Army)-(OSCC)||CORPS 2-Central Comd-IHQ of MoD (Army)-(OSCC)||UNIT 4-CORPS2-Central Comd-IHQ of MoD
             																								"
