,Binding,Brand,ListPrice,ProductGroup,ProductTypeName,Title,location,govSchemeSize,companiesMoving,supplyDelhi,supplyMumbai,supplyKolkata,supplyChennai,demandDelhi,demandMumbai,demandChennai,demandKolkata,label
0,Electronics,Mediasonic,0.00041658336804900007,Home Theater,TUNER,"Mediasonic HW180STB HomeWorx HDTV Digital Converter Box with Media Player Function, Dolby Digital and HDMI Out",4,0.0,0.002439316387406,0.034236906746141,0.11095440102279701,0.171671422993169,0.5186234190687901,0.54,0.48,0.53,0.43,PL2
1,Electronics,SANOXY,0.0004883333740280001,Home Theater,TUNER,SANOXY® Analog to Digital Audio Converter Adapter,3,0.0,0.012078787920277998,0.16656232947823402,0.446108738595778,0.31256121234385104,0.43690960459488504,0.54,0.48,0.53,0.43,PL2
2,Electronics,RCA,0.0009749167479099999,Home Theater,TUNER,RCA DTA-800B1 Digital To Analog Pass-through TV Converter Box,3,0.0,0.045741764621369,0.048244130144061,0.472704652738757,0.158684775784362,0.06537238224269401,0.54,0.48,0.53,0.43,PL2
3,Electronics,Mediasonic,0.0004999167083260001,Home Theater,TUNER,Mediasonic HW-150PVR HomeWorx ATSC Digital TV Converter Box with Media Player and Recording PVR Function/HDMI Out (Black),1,0.0,0.12269581039283302,0.08610461919866999,0.168786919433625,0.163455432774171,0.19340372806745898,0.54,0.48,0.53,0.43,PL1
4,Electronics,IVIEW,0.00041658336804900007,Home Theater,TUNER,iView 3500STBII Multi-Function Digital Converter Box with Recording and Media Playback,2,0.0,0.08436360490989901,0.186539530074828,0.291210922866992,0.21211003827257502,0.130269795766761,0.54,0.48,0.53,0.43,PL1
5,Electronics,Zinwell,0.000541666711806,Home Theater,TUNER,Zinwell ZAT-970A Digital to Analog TV Converter Box (for Antenna Use),2,0.0,0.055725716326338,0.266338606212141,0.100626419744789,0.23637400904702,0.393772154716636,0.54,0.48,0.53,0.43,PL2
6,Electronics,GE,0.000666583388882,Home Theater,TUNER,GE 23333 Digital to Analog TV Converter Box,2,0.0,0.00672226536697,0.40307369457898495,0.058546679800387,0.10957668500312101,0.012736624183142002,0.54,0.48,0.53,0.43,PL1
7,Electronics,Philco,0.0004999167083260001,Home Theater,TUNER,Philco TB100HH9 Digital to Analog TV Converter Box,3,0.0,0.027116163151117995,0.15551922477612,0.018964440640025,0.320541129829822,0.18475454589599502,0.54,0.48,0.53,0.43,PL2
8,,KCPI,0.000666583388882,Single Detail Page Misc,MISC_OTHER,Kcpi Dt504 Digital Tv Converter Box,1,0.0,0.286816366035407,0.014339216028513999,0.24964433598129898,0.17592119243496102,0.000279392257956,0.031676207342957,0.41850324394075106,0.002004904076445,0.20278010451086498,PL4
9,Electronics,Panlong,0.000583250048604,Home Theater,TUNER,Panlong 5.1 Audio Gear Digital Sound Decoder Converter - Optical SPDIF/ Coaxial Dolby AC3 DTS to 5.1CH Analog Audio,2,0.0,0.002187991905233,0.13031247678519803,0.169985755126706,0.195759396512685,0.247101007436237,0.54,0.48,0.53,0.43,PL2
10,Electronics,Supersonic,0.0004999167083260001,Home Theater,TUNER,Supersonic Digital TV Converter Box iKonvert,4,0.0,0.226064268857214,0.171877973312854,0.44957315696107103,0.37686966776027503,0.217683078032284,0.54,0.48,0.53,0.43,PL2
11,Electronics,Mega Goods,0.000666583388882,Receiver or Amplifier,AUDIO_OR_VIDEO,Supersonic iKonvert SC-56 Digital to Analog DTV Converter Box,2,0.0,0.062708996400563,0.12311944930019801,0.353251324189015,0.18999403083077,0.173437346597367,0.196553757803373,0.3613040283553401,0.17799047486550498,0.42721680991474703,PL3
12,Electronics,HomeWorx,8.32500069375006e-05,Home Theater,ANTENNA,Homeworx HW110AN Super Thin Indoor HDTV Antenna,1,0.0,0.013533648817367,0.133860301523518,0.47722253090797,0.07234757288282902,0.203027846791928,0.54,0.48,0.53,0.43,PL1
13,Electronics,Lasonic,0.000583250048604,Home Theater,TUNER,Lasonic LTA-260 ATSC Digital to Analog  TV Converter Box,2,0.0,0.13590103561008302,0.126090128109364,0.095380016504937,0.26558146888100104,0.184359250688744,0.54,0.48,0.53,0.43,PL2
14,Electronics,Channel Master,0.000499583374965,Home Theater,TUNER,Channel Master CM-7000 Digital to Analog TV Converter Box with S-Video,4,0.0,0.091041299985024,0.194731389988755,0.47213891218603904,0.110134452739776,0.25227608659208606,0.54,0.48,0.53,0.43,PL2
15,Electronics,AmazonXpress,0.0008332500694380001,Home Theater,TUNER,"Mediasonic HW150PVR HomeWorx HDTV Digital Converter Box with HDMI, Recording Function and USB playback + Digital Antenna + Premium HDMI Cable",4,0.0,0.024260587214589003,0.23360866550510898,0.237929784330107,0.158933539531803,0.27053894605948003,0.54,0.48,0.53,0.43,PL2
16,Electronics,Digital Stream,0.000349916695826,Home Theater,TELEVISION,Digital Stream DSP7700P Digital TV Converter Box (Black),3,0.0,0.219501296858764,0.441564017656997,0.072780366379172,0.115636219685041,0.011465823383606001,0.54,0.48,0.53,0.43,PL1
17,Electronics,Access HD,0.000583250048604,Home Theater,TUNER,Access HD 1080U Digital to Analog TV Converter Box,4,0.0,0.057066401035960994,0.023920546117437002,0.3666964163941961,0.31405903386766604,0.287300108969401,0.54,0.48,0.53,0.43,PL2
18,Electronics,IVIEW,0.000291666690972,Home Theater,TUNER,iView-3000STB Digital Converter Box  (Black),1,0.0,0.002183282098591,0.362376071063169,0.198905736199505,0.041331540427224,0.49305390414331196,0.54,0.48,0.53,0.43,PL3
19,Electronics,Global Marketing Partners,0.000491666707639,Home Theater,TUNER,Artec T3A PRO Digital to Analog Converter Box,1,0.0,0.036863849180045,0.08834686505251299,0.437781965153405,0.264957508194061,0.32664814033824296,0.54,0.48,0.53,0.43,PL2
20,Personal Computers,Lindy,0.000666666722222,Personal Computer,COMPUTER_COMPONENT,LINDY Analog Stereo to SPDIF Digital Audio Converter (70409),3,0.0,0.026545194280272997,0.073014943488415,0.21918070790782002,0.168067415220759,0.28184403110832,0.73,0.38,0.29,0.3,PL2
21,Electronics,RCA,8.32500069375006e-05,Speakers,ANTENNA,RCA Basic Indoor Antenna,4,0.0,0.019769767274361,0.353367866664271,0.239250308298467,0.001453130410655,0.114208346736266,0.41,0.32,0.32,0.22,PL3
22,Electronics,HDE,0.00029158335763200007,PC Accessory,COMPUTER_ADD_ON,HDE Computer to TV Converter Box - VGA to RCA S-video Composite Adapter,3,0.0,0.24623452267233603,0.170756179595151,0.173237519664292,0.035961448417076006,0.08617897419270798,0.21190032962168304,0.20929484141937502,0.16185205615267,0.16382830910645402,PL3
23,Electronics,Panlong,0.0008332500694380001,Home Theater,TUNER,Panlong Analog to Digital Video Audio Converter - VGA/ RGB YPbPr Component/ Composite RCA CVBS and Audio to HDMI Converter Adapter 720P 1080P Upscaler,3,0.0,0.15149582640841,0.100159544667674,0.052897511564512,0.155781140838347,0.06441096822877,0.54,0.48,0.53,0.43,PL1
24,Electronics,Zinwell,0.0004999167083260001,Home Theater,TUNER,Zinwell ZAT-950A Digital to Analog TV Converter Box,4,0.0,0.03298406000182,0.016814252679872,0.442846565779111,0.082009448214661,0.041512017318585,0.54,0.48,0.53,0.43,PL2
25,Electronics,Teac,0.004583250381938,Receiver or Amplifier,AUDIO_OR_VIDEO,Teac UDH01-S Digital to Analog Converter with USB Audio Interface,2,0.0,0.009269634345093999,0.04770173028970901,0.22594051192260298,0.04726628257772701,0.154289730325443,0.196553757803373,0.3613040283553401,0.17799047486550498,0.42721680991474703,PL3
26,Electronics,Memorex,0.0004999167083260001,Home Theater,TUNER,Memorex MVCB1000 ATSC Digital to Analog Converter Box with Analog Pass Through,2,0.0,0.05766119030991299,0.250845612995647,0.063805169051039,0.35745558303284003,0.12682647784906198,0.54,0.48,0.53,0.43,PL1
27,Electronics,Muse,0.000668166722347,Car Audio or Theater,CAR_AUDIO_OR_THEATER,MUSE 24Bit/192Khz Digital Optical Coaxial to Analog RCA Audio Converter DAC - Sliver,1,0.0,0.014931767192887,0.094433928530083,0.073622323941639,0.09848484672916999,0.09082875717238,0.383315653756528,0.075969108690187,0.10093937828725599,0.156263183936847,PL2
28,Electronics,Portta,0.000104166675347,Home Theater,AV_FURNITURE,Portta PETATD Analog to Digital Audio Converter,2,0.0,0.028332880457764997,0.354700930904739,0.268035237568399,0.153318548258605,0.09339879569160901,0.54,0.48,0.53,0.43,PL1
29,Electronics,Sansonic,0.0004999167083260001,Home Theater,TUNER,Sansonic FT-300A Digital To Analog TV Converter Box,2,0.0,0.09198241425288199,0.210427317431151,0.332656669954874,0.207702981943053,0.44937864516410797,0.54,0.48,0.53,0.43,PL2
30,Personal Computers,Lindy,0.001208333434028,Personal Computer,COMPUTER_ADD_ON,LINDY USB Digital to Analog Audio Converter and Headphone Amp (20376),3,0.0,0.14884810767491902,0.29001494011210605,0.26267515571031796,0.078596582628858,0.240191979867603,0.73,0.38,0.29,0.3,PL2
31,Electronics,Coby,0.00041658336804900007,Home Theater,TUNER,"Coby DTV102 ATSC Standard-Definition Converter Box, Black",2,0.0,0.07060188686489999,0.056077006793042,0.047521700462717004,0.39336786864971207,0.215983917537956,0.54,0.48,0.53,0.43,PL2
32,Electronics,Yamaha,0.005416250451354,Receiver or Amplifier,RECEIVER_OR_AMPLIFIER,Yamaha RX-V675 7.2 Channel Network AV Receiver with Airplay,4,0.0,0.17077485624786198,0.043342033752454,0.19884514370674,0.29730939947062796,0.09434209679172299,0.196553757803373,0.3613040283553401,0.17799047486550498,0.42721680991474703,PL4
